Record ID,Status,Termination Date,Hire Date,Birthdate,Marital Status,Gender,Highest Education,Termination Reason
1,Terminated,04/25/2019,07/23/2018,11/14/1977,S,M - Male,C - HS Grad,Voluntary-Another Job
2,Terminated,02/19/2020,07/15/2019,01/04/1993,S,M - Male,A - Not Indic,Voluntary-Personal Reasons
3,Terminated,10/18/2019,05/16/1977,10/18/1957,S,F - Female,D - Some Coll.,Retire-Normal
4,Terminated,03/22/2019,05/08/2012,09/18/1966,M,F - Female,C - HS Grad,Voluntary-Another Job
5,Terminated,01/04/2019,08/27/1975,01/13/1952,M,F - Female,C - HS Grad,Retire-Normal
6,Terminated,12/27/2019,10/26/1976,05/27/1957,M,F - Female,B - Less Th HS,Retire-Normal
7,Terminated,06/03/2019,10/03/1977,10/23/1956,M,F - Female,D - Some Coll.,Retire-Normal
8,Terminated,10/01/2019,12/16/1996,02/14/1953,S,M - Male,I - Master's,Voluntary-No Reason Given
9,Terminated,01/25/2019,05/13/2018,10/23/1992,S,M - Male,A - Not Indic,Voluntary-Reloc/Move
10,Terminated,01/16/2020,07/30/2018,06/25/1963,S,F - Female,C - HS Grad,Voluntary-No Reason Given
11,Terminated,08/06/2019,10/10/1983,10/02/1950,M,F - Female,C - HS Grad,Retire-Normal
12,Terminated,05/03/2019,07/07/1975,06/18/1957,S,F - Female,C - HS Grad,Retire-Normal
13,Terminated,03/29/2019,09/22/1975,04/01/1949,M,F - Female,C - HS Grad,Retire-Normal
14,Terminated,05/13/2019,04/24/2017,12/22/1992,S,M - Male,A - Not Indic,Voluntary-No Reason Given
15,Terminated,06/04/2019,10/30/2017,06/16/1992,S,M - Male,C - HS Grad,Voluntary-No Child Care
16,Terminated,04/15/2019,01/02/2018,06/04/1986,S,M - Male,A - Not Indic,Voluntary-Another Job
17,Terminated,02/19/2019,09/17/2018,04/05/1993,M,M - Male,A - Not Indic,Voluntary-No Reason Given
18,Terminated,07/16/2019,10/22/2018,08/07/1985,S,M - Male,D - Some Coll.,Voluntary-No Call/No Show
19,Terminated,08/22/2019,07/06/1976,12/21/1956,M,M - Male,A - Not Indic,Retire-Normal
20,Terminated,02/15/2019,12/27/1990,12/19/1961,M,M - Male,C - HS Grad,Retire-Normal
21,Terminated,08/13/2019,10/14/2018,01/01/1996,S,M - Male,F - 2-Yr Coll,Voluntary-Health
22,Terminated,03/13/2019,06/04/2018,06/07/1973,D,M - Male,C - HS Grad,Voluntary-Personal Reasons
23,Terminated,07/25/2019,03/20/2017,08/04/1979,S,M - Male,D - Some Coll.,Voluntary-No Reason Given
24,Terminated,03/22/2019,07/10/2018,10/29/1982,M,M - Male,C - HS Grad,Voluntary-Another Job
25,Terminated,12/13/2019,12/02/2019,08/16/1993,C,M - Male,B - Less Th HS,Voluntary-Personal Reasons
26,Terminated,07/12/2019,08/27/2012,07/27/1985,M,M - Male,A - Not Indic,Voluntary-Another Job
27,Terminated,01/14/2020,09/03/2019,01/02/1986,S,M - Male,D - Some Coll.,Voluntary-No Call/No Show
28,Terminated,03/29/2019,08/29/1983,07/21/1955,M,M - Male,A - Not Indic,Retire-Normal
29,Terminated,03/19/2020,08/23/1993,10/08/1954,S,M - Male,H - Some Grad,Retire-Normal
30,Terminated,05/31/2019,10/04/1984,11/23/1955,M,M - Male,C - HS Grad,Retire-Normal
31,Terminated,12/16/2019,11/30/1987,10/02/1951,S,M - Male,C - HS Grad,Retire-Normal
32,Terminated,05/31/2019,12/13/2015,05/07/1952,S,M - Male,C - HS Grad,Retire-Early
33,Terminated,01/31/2020,03/25/1983,06/14/1960,S,M - Male,C - HS Grad,Retire-Normal
34,Terminated,01/04/2020,08/02/1983,11/16/1950,M,M - Male,D - Some Coll.,Retire-Normal
35,Terminated,05/17/2019,05/16/1977,04/16/1957,M,M - Male,C - HS Grad,Retire-Normal
36,Terminated,09/26/2019,09/11/2017,08/31/1998,N,M - Male,A - Not Indic,Voluntary-Another Job
37,Terminated,08/22/2019,05/20/2019,07/05/1998,S,F - Female,C - HS Grad,Voluntary-Return To School
38,Terminated,08/09/2019,05/20/2019,10/05/1996,S,M - Male,C - HS Grad,Voluntary-Return To School
39,Terminated,08/02/2019,02/10/1992,01/05/1951,M,M - Male,G - Bachelor's,Retire-Normal
40,Terminated,02/13/2019,07/23/2012,04/16/1971,D,F - Female,A - Not Indic,Voluntary-Another Job
41,Terminated,08/08/2019,06/21/2018,02/17/1999,S,F - Female,C - HS Grad,Voluntary-Return To School
42,Terminated,08/09/2019,05/20/2019,04/07/1998,S,M - Male,C - HS Grad,Voluntary-Return To School
43,Terminated,08/02/2019,05/20/2019,05/06/1998,S,F - Female,C - HS Grad,Voluntary-Return To School
44,Terminated,08/23/2019,06/03/2019,02/27/1998,S,F - Female,G - Bachelor's,Voluntary-Return To School
45,Terminated,09/13/2019,08/01/1988,08/27/1955,S,M - Male,C - HS Grad,Retire-Normal
46,Terminated,01/16/2020,11/17/1980,01/11/1962,M,F - Female,A - Not Indic,Retire-Normal
47,Terminated,02/01/2020,05/28/2019,07/01/1998,S,F - Female,D - Some Coll.,Voluntary-Return To School
