Record ID,Status,Termination Date,Hire Date,Birthdate,Marital Status,Gender,Highest Education,Termination Reason
1,Terminated,4/25/2019,7/23/2018,11/14/1977,Single,Male,C - HS Grad,Voluntary-Another Job
2,Terminated,2/19/2020,7/15/2019,1/4/1993,Single,Male,A - Not Indic,Voluntary-Personal Reasons
3,Terminated,10/18/2019,5/16/1977,10/18/1957,Single,Female,D - Some Coll.,Retire-Normal
4,Terminated,3/22/2019,5/8/2012,9/18/1966,Married,Female,C - HS Grad,Voluntary-Another Job
5,Terminated,1/4/2019,8/27/1975,1/13/1952,Married,Female,C - HS Grad,Retire-Normal
6,Terminated,12/27/2019,10/26/1976,5/27/1957,Married,Female,B - Less Th HS,Retire-Normal
7,Terminated,6/3/2019,10/3/1977,10/23/1956,Married,Female,D - Some Coll.,Retire-Normal
8,Terminated,10/1/2019,12/16/1996,2/14/1953,Single,Male,I - Master's,Voluntary-No Reason Given
9,Terminated,1/25/2019,5/13/2018,10/23/1992,Single,Male,A - Not Indic,Voluntary-Reloc/Move
10,Terminated,1/16/2020,7/30/2018,6/25/1963,Single,Female,C - HS Grad,Voluntary-No Reason Given
11,Terminated,8/6/2019,10/10/1983,10/2/1950,Married,Female,C - HS Grad,Retire-Normal
12,Terminated,5/3/2019,7/7/1975,6/18/1957,Single,Female,C - HS Grad,Retire-Normal
13,Terminated,3/29/2019,9/22/1975,4/1/1949,Married,Female,C - HS Grad,Retire-Normal
14,Terminated,5/13/2019,4/24/2017,12/22/1992,Single,Male,A - Not Indic,Voluntary-No Reason Given
15,Terminated,6/4/2019,10/30/2017,6/16/1992,Single,Male,C - HS Grad,Voluntary-No Child Care
16,Terminated,4/15/2019,1/2/2018,6/4/1986,Single,Male,A - Not Indic,Voluntary-Another Job
17,Terminated,2/19/2019,9/17/2018,4/5/1993,Married,Male,A - Not Indic,Voluntary-No Reason Given
18,Terminated,7/16/2019,10/22/2018,8/7/1985,Single,Male,D - Some Coll.,Voluntary-No Call/No Show
19,Terminated,8/22/2019,7/6/1976,12/21/1956,Married,Male,A - Not Indic,Retire-Normal
20,Terminated,2/15/2019,12/27/1990,12/19/1961,Married,Male,C - HS Grad,Retire-Normal
21,Terminated,8/13/2019,10/14/2018,1/1/1996,Single,Male,F - 2-Yr Coll,Voluntary-Health
22,Terminated,3/13/2019,6/4/2018,6/7/1973,Divorced,Male,C - HS Grad,Voluntary-Personal Reasons
23,Terminated,7/25/2019,3/20/2017,8/4/1979,Single,Male,D - Some Coll.,Voluntary-No Reason Given
24,Terminated,3/22/2019,7/10/2018,10/29/1982,Married,Male,C - HS Grad,Voluntary-Another Job
26,Terminated,7/12/2019,8/27/2012,7/27/1985,Married,Male,A - Not Indic,Voluntary-Another Job
27,Terminated,1/14/2020,9/3/2019,1/2/1986,Single,Male,D - Some Coll.,Voluntary-No Call/No Show
28,Terminated,3/29/2019,8/29/1983,7/21/1955,Married,Male,A - Not Indic,Retire-Normal
29,Terminated,3/19/2020,8/23/1993,10/8/1954,Single,Male,H - Some Grad,Retire-Normal
30,Terminated,5/31/2019,10/4/1984,11/23/1955,Married,Male,C - HS Grad,Retire-Normal
31,Terminated,12/16/2019,11/30/1987,10/2/1951,Single,Male,C - HS Grad,Retire-Normal
32,Terminated,5/31/2019,12/13/2015,5/7/1952,Single,Male,C - HS Grad,Retire-Early
33,Terminated,1/31/2020,3/25/1983,6/14/1960,Single,Male,C - HS Grad,Retire-Normal
34,Terminated,1/4/2020,8/2/1983,11/16/1950,Married,Male,D - Some Coll.,Retire-Normal
35,Terminated,5/17/2019,5/16/1977,4/16/1957,Married,Male,C - HS Grad,Retire-Normal
36,Terminated,9/26/2019,9/11/2017,8/31/1998,Not Indicated,Male,A - Not Indic,Voluntary-Another Job
37,Terminated,8/22/2019,5/20/2019,7/5/1998,Single,Female,C - HS Grad,Voluntary-Return To School
38,Terminated,8/9/2019,5/20/2019,10/5/1996,Single,Male,C - HS Grad,Voluntary-Return To School
39,Terminated,8/2/2019,2/10/1992,1/5/1951,Married,Male,G - Bachelor's,Retire-Normal
40,Terminated,2/13/2019,7/23/2012,4/16/1971,Divorced,Female,A - Not Indic,Voluntary-Another Job
41,Terminated,8/8/2019,6/21/2018,2/17/1999,Single,Female,C - HS Grad,Voluntary-Return To School
42,Terminated,8/9/2019,5/20/2019,4/7/1998,Single,Male,C - HS Grad,Voluntary-Return To School
43,Terminated,8/2/2019,5/20/2019,5/6/1998,Single,Female,C - HS Grad,Voluntary-Return To School
44,Terminated,8/23/2019,6/3/2019,2/27/1998,Single,Female,G - Bachelor's,Voluntary-Return To School
45,Terminated,9/13/2019,8/1/1988,8/27/1955,Single,Male,C - HS Grad,Retire-Normal
46,Terminated,1/16/2020,11/17/1980,1/11/1962,Married,Female,A - Not Indic,Retire-Normal
47,Terminated,2/1/2020,5/28/2019,7/1/1998,Single,Female,D - Some Coll.,Voluntary-Return To School
48,Terminated,2/1/2020,5/20/2019,9/3/1997,Single,Female,D - Some Coll.,Voluntary-Return To School
49,Terminated,10/22/2019,5/28/2019,3/21/1998,Single,Male,D - Some Coll.,Voluntary-Return To School
50,Terminated,10/4/2019,12/10/2013,10/5/1975,Married,Male,F - 2-Yr Coll,Voluntary-Another Job
51,Terminated,3/13/2019,3/14/1983,3/13/1957,Married,Female,D - Some Coll.,Retire-Normal
52,Terminated,5/22/2019,5/29/2018,9/27/1996,Single,Male,D - Some Coll.,Voluntary-Return To School
53,Terminated,5/9/2019,9/11/2000,8/22/1960,Married,Female,A - Not Indic,Retire-Early
54,Terminated,12/18/2019,5/30/2017,3/30/1989,Single,Male,A - Not Indic,Voluntary-Health
55,Terminated,4/9/2020,8/28/2017,2/24/1988,Married,Male,F - 2-Yr Coll,Voluntary-Another Job
56,Terminated,8/30/2019,5/20/2019,8/18/1996,Single,Female,G - Bachelor's,Voluntary-Return To School
57,Terminated,8/19/2019,5/20/2019,10/12/1998,Single,Female,D - Some Coll.,Voluntary-Return To School
58,Terminated,8/28/2019,5/20/2019,3/10/1998,Single,Female,C - HS Grad,Voluntary-Return To School
59,Terminated,12/18/2019,6/3/2019,7/24/1974,Divorced,Female,G - Bachelor's,Voluntary-Another Job
60,Terminated,8/22/2019,8/12/2019,11/19/1996,Single,Female,G - Bachelor's,Voluntary-Another Job
61,Terminated,8/23/2019,5/20/2019,5/26/1998,Single,Female,C - HS Grad,Voluntary-Return To School
62,Terminated,7/12/2019,6/11/2018,5/5/1997,Single,Male,C - HS Grad,Voluntary-Another Job
63,Terminated,10/16/2019,5/20/2019,3/11/1996,Single,Female,G - Bachelor's,Voluntary-Another Job
64,Terminated,5/2/2019,8/10/2015,6/18/1968,Single,Male,G - Bachelor's,Voluntary-Another Job
65,Terminated,6/4/2019,4/18/2016,11/21/1965,Single,Male,D - Some Coll.,Voluntary-Health
66,Terminated,3/25/2020,9/26/2016,4/14/1953,Not Indicated,Female,A - Not Indic,Voluntary-Personal Reasons
67,Terminated,10/16/2019,4/3/2017,6/14/1974,Single,Female,F - 2-Yr Coll,Voluntary-Personal Reasons
68,Terminated,12/13/2019,6/4/2018,7/5/1984,Married,Female,F - 2-Yr Coll,Voluntary-Another Job
69,Terminated,3/25/2020,7/15/2019,2/18/1976,Married,Female,D - Some Coll.,Voluntary-No Reason Given
70,Terminated,3/21/2019,5/8/2013,2/3/1983,Married,Male,A - Not Indic,Voluntary-Another Job
71,Terminated,2/15/2019,3/5/2018,10/6/1955,Married,Female,G - Bachelor's,Voluntary-Another Job
72,Terminated,5/20/2019,3/28/2019,5/20/1999,Single,Male,F - 2-Yr Coll,Voluntary-No Reason Given
73,Terminated,8/22/2019,5/20/2019,10/15/1998,Single,Female,C - HS Grad,Voluntary-Return To School
74,Terminated,8/13/2019,7/22/2019,5/30/1997,Single,Female,C - HS Grad,Voluntary-Return To School
